epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2314,1.80055,3.52587,1.80387,0.00314,0.9,0.34133,0.21555,1.43397,4.09299,1.53797,0.00020004,0.00020004,0.00020004
2,31.9434,1.68553,2.93029,1.70495,0.00335,0.95,0.54584,0.21972,1.64423,3.70008,1.54153,0.000414687,0.000414687,0.000414687
3,47.5414,1.54767,2.71376,1.63158,0.00331,0.95,0.48518,0.2723,1.6445,3.90472,1.59458,0.000627189,0.000627189,0.000627189
4,63.1842,1.57177,2.53325,1.63091,0.00248,0.75,0.34318,0.20612,1.85865,4.08728,1.93894,0.000837545,0.000837545,0.000837545
5,78.76,1.51225,2.63335,1.62379,0.85007,0.20903,0.32028,0.13201,1.7445,4.13967,1.92099,0.00104576,0.00104576,0.00104576
6,94.5054,1.6111,2.59936,1.73264,0.68014,0.33333,0.3542,0.20933,1.6683,3.7346,1.85571,0.00125182,0.00125182,0.00125182
7,110.095,1.58671,2.42869,1.63047,0.57547,0.39965,0.32045,0.19318,1.98685,3.74122,2.01382,0.00145574,0.00145574,0.00145574
8,125.676,1.62867,2.42971,1.69456,0.79846,0.38375,0.36068,0.1973,2.05927,3.7087,2.36922,0.00160924,0.00160924,0.00160924
9,141.114,1.52568,2.24975,1.60884,0.44784,0.23333,0.26468,0.11266,2.21384,6.1499,2.7004,0.00160099,0.00160099,0.00160099
10,156.337,1.62622,2.47647,1.69981,0.23643,0.28333,0.1657,0.06724,2.33895,6.18073,2.73864,0.00159274,0.00159274,0.00159274
11,171.643,1.5878,2.33251,1.70477,0.52147,0.41667,0.30437,0.13004,2.14802,7.15678,2.27531,0.00158448,0.00158448,0.00158448
12,187.028,1.57585,2.21444,1.66724,0.30563,0.52877,0.34938,0.11416,2.16382,4.62224,2.2474,0.00157623,0.00157623,0.00157623
13,202.448,1.60971,2.2089,1.633,0.39996,0.38527,0.29441,0.10216,2.24852,4.28542,2.20971,0.00156798,0.00156798,0.00156798
14,218.146,1.53917,2.17656,1.57761,0.7456,0.4892,0.45243,0.21989,2.09502,3.61215,2.06981,0.00155973,0.00155973,0.00155973
